,title,original_language,original_title,overview,popularity,poster_path,release_date,vote_average,vote_count
0,All Things Fair,sv,Lust och fägring stor,"In 1943 Malmö, 15-year-old Stig is attracted to his teacher Viola, 22 years his senior, who, drawn to his youth and innocence, believes the lad is a God-sent relief from her miserable marriage to a drunken, unfaithful lout.",21.8741,/y1oFNynXrIzlPUe4CXKMR2dpNep.jpg,1995-03-08,6.4,173
1,Everything Everywhere All at Once,en,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",18.322,/u68AjlvlutfEIcpmbYpKcdi09ut.jpg,2022-03-24,7.718,7995
2,AEW All In 2025: Texas,en,AEW All In 2025: Texas,"The 2025 All In, also promoted as All In Texas, was a professional wrestling pay-per-view event produced by All Elite Wrestling (AEW) that took place on July 12, 2025, at Globe Life Field in Arlington, Texas, marking AEW’s first PPV in Texas, its first PPV in a baseball stadium, and the first professional wrestling event ever held at Globe Life Field. The show was headlined by Jon Moxley (c) vs. Adam Page for the AEW World Title in a Texas Death Match.",0.3485,/wLJJ40AMEZmypeFut6AffqwMK8E.jpg,2025-07-12,9.2,16
3,Run All Night,en,Run All Night,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",3.1887,/iGvSMoPbWZWDnIhh54yiq3sW7wH.jpg,2015-03-11,6.4,2978
4,The Devil All the Time,en,The Devil All the Time,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",2.8716,/bVL7LGq528h3KzeNI90HOVbV5uW.jpg,2020-09-11,7.177,3664
5,Bones and All,en,Bones and All,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",4.3469,/dBQuk2LkHjrDsSjueirPQg96GCc.jpg,2022-11-18,7.0,1638
6,...All the Marbles,en,...All the Marbles,A two-bit promoter tries to take a women's wrestling team to the top.,9.116,/qv0WuNiP93ahEEYDFwC5DcjJmOS.jpg,1981-03-01,6.1,58
7,Forgive Us All,en,Forgive Us All,"In a post-apocalyptic world, a virus has transformed humans into violently deranged cannibals. A bereaved mother has lost everything and takes refuge in an isolated mountain cabin, until a desperate wounded stranger arrives with a story of hope.",1.392,/bT7sMDsvWNeIGgZ6ZsisNdBcHdq.jpg,2025-05-08,4.909,33
8,All Dogs Go to Heaven,en,All Dogs Go to Heaven,"When a casino-owning dog named Charlie is murdered by his rival Carface, he finds himself in Heaven. Wanting to get back at his killer, he cons his way back to the living with the warning that doing so damns him to Hell. Once back, he teams with his old partner, Itchy, to prep his retaliation. He stumbles upon an orphan girl who can talk to the animals, thus allowing him to get the inside info on the races to ensure his wins to finance his plans. However, all the while, he is still haunted by nightmares of what's waiting for him on the other side unless he can prove that he is worthy of Heaven again.",4.0311,/nmWh1NglDinfkHD9zCNqGWyhl7Q.jpg,1989-11-17,6.818,1135
9,Jingle All the Way,en,Jingle All the Way,"Howard Langston, a salesman for a mattress company, is constantly kept busy at his job, disappointing his son. After he misses his son's karate exposition, Howard vows to make it up to him by buying an action figure of his son's favorite television hero for Christmas. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man. Now, Howard must travel all over town and compete with everybody else to find a Turbo Man action figure.",3.7795,/lHLOUt0ZIQLC5asHdIQBoTUvaEp.jpg,1996-11-21,6.067,2944
